index,OBJECTID,Project_code,Project_name,Corridor_name,Infrastructure_development_type,Status,Country,Region_or_province,Description,Launch_year,USD_amount__Million__Minimum,USD_amount__Million__Maximum,Amount_description,Distance__km__Minimum,Distance__km__Maximum,GIS_distance,Area__Km2_,Supplier_or_recipient_of_goods_or_services,Key_beneficiaries,Commodities_traded_or_transported,Name_of_donors_or_financiers,Amount_funded__USD_millions__per_donor_type,Type_of_major_donors_or_financiers,geometry,index_right,iso3,name,FeatureUID,DsgAttr01,FeatureNam,NameVar,FeatureTyp,Latitude,Longitude,LocConfid,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr07,DsgAttr08,OperateNam,OwnerName,Website,DsgAttr09,Label1,LocSource1,InfSource1,ADM1,DsgAttr10,id,Continent_Code,infra,matches
245,,,,,,,Sierra Leone,,,,,,,,,,,,,,,,,POINT (-13.058109 8.57749),44.0,SLE,Pepel_Sierra Leone,SLp03,SLp03a,Pepel,<Null>,Bulk Commodities Port,8.57749,-13.058109,E,N,Iron and Steel,High-Grade >65% Iron Ore Concentrate (Marampa Mine Blue Hematite),20000.0,Million metric tons,<Null>,"Tonkolili Iron Ore Mine, Marampa Mine",African Minerals (AML),Sierra Leone Ports Authority,https://www.ncpsl.gov.sl/slpa/,<Null>,SLp3,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SLp001, SLp002, SLp003",Northern,45865,port1463,AF,port,Y
249,,,,,,,Somalia,,,,,,,,,,,,,,,,,POINT (42.545998 -0.3868809999999999),45.0,SOM,Kismaayo_Somalia,SOp03,SOp03a,Kismaayo,Port of Chisimaio,General Cargo Port,-0.386881,42.545998,E,N,Charcoal,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,Somali Ports Authority,<Null>,<Null>,SOp3,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SOM002",Jubbada Hoose,47130,port1464,AF,port,Y
265,,,,,,,South Africa,,,,,,,,,,,,,,,,,POINT (22.147287 -34.18021099999999),46.0,ZAF,Mossel Bay_South Africa,ZAp04,ZAp04a,Mossel Bay,<Null>,Oil and Gas Terminal,-34.180211,22.147287,E,N,Oil and Gas Products,Unspecified Oil Products,2.4,Million metric tons,<Null>,"Petrosa [The Petroleum, Oil and Gas Corporation Of South Africa (Soc) Ltd.]",Transnet National Port Authority,Transnet National Port Authority,https://www.transnetnationalportsauthority.net/Pages/default.aspx,<Null>,ZAp4,"NGA-WPI-Pub150, Google Maps, ZAp003","NGA-WPI-Pub150, ZAp003, WRLDp001, ZAp009, ZAp010",Western Cape,46800,port1465,AF,port,Y
266,,,,,,,South Africa,,,,,,,,,,,,,,,,,POINT (25.682426999999997 -33.80404300000001),46.0,ZAF,Ngqura_South Africa,ZAp05,ZAp05a,Ngqura,Coega,Bulk Commodities Port,-33.804043,25.682427,E,N,Manganese,Unspecified (Dry Bulk),16.0,Million metric tons,<Null>,<Null>,Transnet Port Terminals,Transnet National Port Authority,https://www.transnetnationalportsauthority.net/Pages/default.aspx,<Null>,ZAp5,"Google Earth, ZAp003","ZAp003, ZAp011, ZAp019",Eastern Cape,N/A,port1466,AF,port,Y
267,,,,,,,South Africa,,,,,,,,,,,,,,,,,POINT (25.639946 -33.96828200000001),46.0,ZAF,Port Elizabeth_South Africa,ZAp06,ZAp06a,Port Elizabeth,<Null>,Bulk Commodities Port,-33.968282,25.639946,E,Y,Manganese,Manganese Ore,-999.0,NA,<Null>,Northern Cape Province,Transnet Port Terminals,Transnet National Port Authority,https://www.transnetnationalportsauthority.net/Pages/default.aspx,<Null>,ZAp6,"NGA-WPI-Pub150, Google Maps, ZAp004","NGA-WPI-Pub150, ZAp001, ZAp003, WRLDp001, ZAp012",Eastern Cape,46820,port1467,AF,port,Y
289,,,,,,,Togo,,,,,,,,,,,,,,,,,POINT (1.517154 6.199714999999999),50.0,TGO,Kpeme_Togo,TGp01,TGp01a,Kpeme,<Null>,Bulk Commodities Port,6.199715,1.517154,E,N,Fertilizer,Phosphoric Acid,-999.0,NA,<Null>,"Deposits at Hahoetoé and Kpogamé, Directly Northeast of Lomé",<Null>,Port Autonome de Kpeme,<Null>,<Null>,TGp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TGp002, TGp005, TGp006",Maritime,46095,port1468,AF,port,Y
303,,,,,,,Tunisia,,,,,,,,,,,,,,,,,POINT (10.298899 36.812021),51.0,TUN,La Goulette_Tunisia,TNp03,TNp03a,La Goulette,<Null>,Bulk Commodities Port,36.812021,10.298899,E,N,Fertilizer,Phosphate,-999.0,NA,<Null>,<Null>,<Null>,Office of Merchant Navy and Ports,http://www.ommp.nat.tn/,<Null>,TNp3,"NGA-WPI-Pub150, TNp015, Google Earth","NGA-WPI-Pub150, TNp008, TNp009, TNp015",Tunis,45420,port1469,AF,port,Y
310,,,,,,,Tunisia,,,,,,,,,,,,,,,,,POINT (10.096441 34.287482000000004),51.0,TUN,Skhira_Tunisia,TNp06,TNp06a,Skhira,<Null>,Oil and Gas Terminal,34.287482,10.096441,E,N,"Oil and Gas Products, Refined",Refined Petroleum Products,-999.0,NA,<Null>,Al-Dūlāb Oil Field,<Null>,Office of Merchant Navy and Ports,http://www.ommp.nat.tn/,<Null>,TNp6,"NGA-WPI-Pub150, TNp015, Google Earth","NGA-WPI-Pub150, TNp006, TNp007, TNp015",Sfax,45380,port1470,AF,port,Y
47,,,,,,,Congo (Brazzaville),,,,,,,,,,,,,,,,,POINT (11.928410999999999 -4.919879),11.0,COG,Djeno Terminal_Congo (Brazzaville),CGp01,CGp01a,Djeno Terminal,<Null>,Oil and Gas Terminal,-4.919879,11.928411,E,N,Oil and Gas Products,Djeno Crude Oil ,-999.0,NA,<Null>,<Null>,Total E&P Congo,Total,https://www.total.com/republic-congo,<Null>,CGp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, CGp001",Kouilou,46472,port1471,AF,port,Y
215,,,,,,,Nigeria,,,,,,,,,,,,,,,,,POINT (5.183332999999999 5.166667000000001),38.0,NGA,Forcados Oil Terminal_Nigeria,NGp05,NGp05a,Forcados Oil Terminal,<Null>,Oil and Gas Terminal,5.166667,5.183333,A,N,Oil and Gas Products,Crude Oil,240.0,Thousand barrels per day,<Null>,The Trans Forcados Pipeline (Tfp),Shell Petroleum Development Co. of Nigeria Ltd. (SPDC),Nigerian Ports Authority,<Null>,<Null>,NGp5,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, NGp004, NGp024, NGp025, NGp028",Delta,46161,port1472,AF,port,Y
